#Airline Flight Schedule - USA 8
#Commented by David Powell (dep) 22
#Sun Jan 26 00:35:54 EST 1997 317
#revised Tue Feb 18 01:33:21 EST 1997 by bh 131
# -- removed extraneous fields 147
# 222
# 3
#Fields: 270
# 2 - Airline 216
# 4 - Flight (left-padded with whitespace) 8
# 2 - <padding> 332
# 3 - Source Airport 462
# 1 - <padding> 152
# 5 - Departure Time (left-padded with whitespace) 368
# 2 - <padding> 255
# 3 - Destination Airport 209
# 1 - <padding> 48
# 5 - Arrival Time (left-padded with whitespace) 32
# 2 - <padding> 427
# 3 - Plane type 180
# 3 - <padding> 477
# remainder - Flight Classes 393
# 130
AA 748  ABQ  257P  ATL 1047P  S80    F  Y  M  Q  B 37
TW 410  ABQ  628A  DCA  132P  M80    F  Y  B  Q  M 406
DL 660  ABQ  125P  DCA  845P  757    F  Y  B  M  Q 184
UA 785  ABQ  645A  DEN  757A  733    F  Y  B  M  Q 133
YV  11  ABQ  715A  DEN  920A  BE1    Y  Q  L  H  M 131
YV 221  ABQ  820A  DEN 1010A  BE1    Y  Q  L  H  M 294
UA 982  ABQ  829A  DEN  939A  72S    F  Y  B  M  Q 335
CO1594  ABQ  830A  DEN  944A  73S    F  A  Y  Q  H 445
UA 718  ABQ 1020A  DEN 1132A  72S    F  C  Y  B  M 383
CO1708  ABQ 1026A  DEN 1139A  733    F  A  Y  Q  H 252
YV 687  ABQ 1045A  DEN 1235P  BE1    Y  Q  L  H  M 198
UA 470  ABQ  114P  DEN  224P  72S    F  Y  B  M  Q 214
CO1660  ABQ  210P  DEN  322P  733    A  Y  Q  H  K 377
YV 237  ABQ  300P  DEN  455P  BE1    Y  Q  L  H  M 366
UA 671  ABQ  325P  DEN  437P  733    F  Y  B  M  Q 27
UA 716  ABQ  449P  DEN  604P  733    F  Y  B  M  Q 250
YV 607  ABQ  500P  DEN  650P  BE1    Y  Q  L  H  M 481
CO1184  ABQ  525P  DEN  639P  73S    A  Y  Q  H  K 37
AA 202  ABQ  450A  DFW  721A  72S   FN YN  B  M  H 429
DL1042  ABQ  630A  DFW  901A  72S   FN YN BN MN QN 400
AA 880  ABQ  915A  DFW 1151A  72S    F  Y  B  M  H 28
DL 768  ABQ  945A  DFW 1223P  M80    F  Y  B  M  Q 457
AA1050  ABQ 1053A  DFW  134P  72S    F  Y  B  M  H 166
CO 829  ABQ 1120A  DFW  358P  73S    A  Y  Q  H  K 278
DL 660  ABQ  125P  DFW  403P  757    F  Y  B  M  Q 355
AA1480  ABQ  140P  DFW  418P  S80    F  Y  B  M  H 76
YV  84  ABQ  200P  DFW  637P  BE1    Y  Q  L  H  M 13
AA 592  ABQ  409P  DFW  701P  S80    F  Y  B  M  H 57
DL1048  ABQ  455P  DFW  730P  72S    F  Y  B  M  Q 265
AA1044  ABQ  600P  DFW  832P  72S    F  Y  B  M  H 169
DL1096  ABQ  825P  DFW 1054P  M80   FN YN BN MN QN 71
WN 515  ABQ  610A  HOU  905A  733    Y  K  L  B  Q 336
WN  29  ABQ 1005A  HOU  225P  733    Y  K  L  B  Q 178
WN  31  ABQ 1050A  HOU  255P  73S    Y  K  L  B  Q 362
WN 803  ABQ 1105A  HOU  330P  73S    Y  K  L  B  Q 219
WN 539  ABQ  845P  HOU 1135P  73S    Y  K  L  B  Q 294
WN 530  ABQ  700A  LAX  750A  73S    Y  K  L  B  Q 48
WN 532  ABQ  950A  LAX 1045A  73S    Y  K  L  B  Q 227
WN 343  ABQ 1125A  LAX 1225P  73S    Y  K  L  B  Q 125
WN 994  ABQ  100P  LAX  250P  73S    Y  K  L  B  Q 128
WN 430  ABQ  410P  LAX  505P  73S    Y  K  L  B  Q 327
WN 931  ABQ  510P  LAX  700P  73S    Y  K  L  B  Q 309
WN 362  ABQ  620P  LAX  715P  733    Y  K  L  B  Q 483
WN 590  ABQ  730P  LAX  825P  733    Y  K  L  B  Q 7
